sex,time,terms,Eat well Drink well,Sometimes eat Sometimes drink,Hardly eat or drink,Not eating or drinking at all,Other
man,Before 6:00 a.m.,sweets,418,453,133,37,11
man,6:00 a.m.06:29 a.m.,sweets,1463,1475,332,118,22
man,6:30 a.m.06:59 a.m.,sweets,1859,1673,405,115,33
man,7:00 a.m.07:29 a.m.,sweets,1155,990,213,51,16
man,7:30 a.m.07:59 a.m.,sweets,123,104,19,8,4
man,8:00 a.m.08:29 a.m.,sweets,12,8,6,2,0
man,8:30 a.m.08:59 a.m.,sweets,1,5,1,0,0
man,After 9:00 a.m.,sweets,3,9,0,0,0
man,No set getuptime,sweets,16,18,7,2,0
man,Other,sweets,3,3,2,0,90
woman,Before 6:00 a.m.,sweets,414,341,88,28,5
woman,6:00 a.m.06:29 a.m.,sweets,1639,1288,267,82,21
woman,6:30 a.m.06:59 a.m.,sweets,2223,1501,267,95,31
woman,7:00 a.m.07:29 a.m.,sweets,1177,793,150,45,18
woman,7:30 a.m.07:59 a.m.,sweets,104,66,15,7,4
woman,8:00 a.m.08:29 a.m.,sweets,12,5,2,1,1
woman,8:30 a.m.08:59 a.m.,sweets,6,4,2,0,0
woman,After 9:00 a.m.,sweets,4,8,2,0,0
woman,No set getuptime,sweets,24,22,5,1,0
woman,Other,sweets,6,7,2,1,76
man,Before 6:00 a.m.,cold sweets,244,547,184,60,17
man,6:00 a.m.06:29 a.m.,cold sweets,844,1772,573,185,36
man,6:30 a.m.06:59 a.m.,cold sweets,1068,2114,668,180,55
man,7:00 a.m.07:29 a.m.,cold sweets,715,1188,390,109,23
man,7:30 a.m.07:59 a.m.,cold sweets,92,113,36,14,3
man,8:00 a.m.08:29 a.m.,cold sweets,11,11,4,2,0
man,8:30 a.m.08:59 a.m.,cold sweets,0,4,3,0,0
man,After 9:00 a.m.,cold sweets,2,8,1,1,0
man,No set getuptime,cold sweets,14,15,10,3,1
man,Other,cold sweets,2,3,2,1,90
woman,Before 6:00 a.m.,cold sweets,211,421,167,64,13
woman,6:00 a.m.06:29 a.m.,cold sweets,826,1739,533,160,39
woman,6:30 a.m.06:59 a.m.,cold sweets,1061,2176,648,187,45
woman,7:00 a.m.07:29 a.m.,cold sweets,617,1138,311,93,24
woman,7:30 a.m.07:59 a.m.,cold sweets,60,90,32,9,5
woman,8:00 a.m.08:29 a.m.,cold sweets,3,14,2,1,1
woman,8:30 a.m.08:59 a.m.,cold sweets,2,8,2,0,0
woman,After 9:00 a.m.,cold sweets,8,2,2,2,0
woman,No set getuptime,cold sweets,18,24,8,1,1
woman,Other,cold sweets,4,9,1,1,77
man,Before 6:00 a.m.,drink,390,341,220,84,17
man,6:00 a.m.06:29 a.m.,drink,1258,1267,616,234,35
man,6:30 a.m.06:59 a.m.,drink,1619,1464,709,243,50
man,7:00 a.m.07:29 a.m.,drink,1000,830,408,164,23
man,7:30 a.m.07:59 a.m.,drink,124,91,24,15,4
man,8:00 a.m.08:29 a.m.,drink,11,11,2,4,0
man,8:30 a.m.08:59 a.m.,drink,1,3,3,0,0
man,After 9:00 a.m.,drink,3,8,1,0,0
man,No set getuptime,drink,22,11,4,5,1
man,Other,drink,3,1,3,1,90
woman,Before 6:00 a.m.,drink,254,296,208,108,10
woman,6:00 a.m.06:29 a.m.,drink,911,1158,853,336,39
woman,6:30 a.m.06:59 a.m.,drink,1190,1466,1004,411,46
woman,7:00 a.m.07:29 a.m.,drink,654,783,525,192,29
woman,7:30 a.m.07:59 a.m.,drink,67,63,43,20,3
woman,8:00 a.m.08:29 a.m.,drink,4,11,3,2,1
woman,8:30 a.m.08:59 a.m.,drink,3,4,3,2,0
woman,After 9:00 a.m.,drink,4,6,1,3,0
woman,No set getuptime,drink,19,14,14,4,1
woman,Other,drink,3,7,3,2,77
man,Before 6:00 a.m.,Carbonated drinks,121,328,283,304,16
man,6:00 a.m.06:29 a.m.,Carbonated drinks,443,1212,842,870,43
man,6:30 a.m.06:59 a.m.,Carbonated drinks,633,1497,950,952,53
man,7:00 a.m.07:29 a.m.,Carbonated drinks,423,902,514,566,20
man,7:30 a.m.07:59 a.m.,Carbonated drinks,56,92,47,59,4
man,8:00 a.m.08:29 a.m.,Carbonated drinks,6,14,2,6,0
man,8:30 a.m.08:59 a.m.,Carbonated drinks,0,4,2,1,0
man,After 9:00 a.m.,Carbonated drinks,4,4,1,3,0
man,No set getuptime,Carbonated drinks,12,10,9,11,1
man,Other,Carbonated drinks,3,2,0,3,90
woman,Before 6:00 a.m.,Carbonated drinks,79,249,234,301,13
woman,6:00 a.m.06:29 a.m.,Carbonated drinks,326,1031,919,981,40
woman,6:30 a.m.06:59 a.m.,Carbonated drinks,410,1388,1061,1203,55
woman,7:00 a.m.07:29 a.m.,Carbonated drinks,266,718,544,625,30
woman,7:30 a.m.07:59 a.m.,Carbonated drinks,29,56,51,54,6
woman,8:00 a.m.08:29 a.m.,Carbonated drinks,2,5,8,4,2
woman,8:30 a.m.08:59 a.m.,Carbonated drinks,1,6,3,2,0
woman,After 9:00 a.m.,Carbonated drinks,4,4,3,3,0
woman,No set getuptime,Carbonated drinks,8,15,13,16,0
woman,Other,Carbonated drinks,2,7,1,4,78
man,Before 6:00 a.m.,fruit,167,416,282,171,16
man,6:00 a.m.06:29 a.m.,fruit,427,1500,951,498,34
man,6:30 a.m.06:59 a.m.,fruit,508,1801,1172,555,49
man,7:00 a.m.07:29 a.m.,fruit,303,1065,674,358,25
man,7:30 a.m.07:59 a.m.,fruit,34,121,65,33,5
man,8:00 a.m.08:29 a.m.,fruit,2,15,8,3,0
man,8:30 a.m.08:59 a.m.,fruit,0,2,4,1,0
man,After 9:00 a.m.,fruit,2,4,5,1,0
man,No set getuptime,fruit,8,18,11,5,1
man,Other,fruit,2,1,2,3,90
woman,Before 6:00 a.m.,fruit,145,360,216,144,11
woman,6:00 a.m.06:29 a.m.,fruit,518,1479,822,429,49
woman,6:30 a.m.06:59 a.m.,fruit,593,1826,1060,586,52
woman,7:00 a.m.07:29 a.m.,fruit,347,962,560,281,33
woman,7:30 a.m.07:59 a.m.,fruit,25,87,47,31,6
woman,8:00 a.m.08:29 a.m.,fruit,3,7,5,5,1
woman,8:30 a.m.08:59 a.m.,fruit,1,5,5,1,0
woman,After 9:00 a.m.,fruit,1,6,5,2,0
woman,No set getuptime,fruit,6,16,19,10,1
woman,Other,fruit,3,9,2,1,77
man,Before 6:00 a.m.,"Rice, bread, noodles",213,293,239,295,12
man,6:00 a.m.06:29 a.m.,"Rice, bread, noodles",640,1026,764,953,27
man,6:30 a.m.06:59 a.m.,"Rice, bread, noodles",808,1264,982,983,48
man,7:00 a.m.07:29 a.m.,"Rice, bread, noodles",588,741,534,537,25
man,7:30 a.m.07:59 a.m.,"Rice, bread, noodles",66,86,47,54,5
man,8:00 a.m.08:29 a.m.,"Rice, bread, noodles",10,8,7,3,0
man,8:30 a.m.08:59 a.m.,"Rice, bread, noodles",1,2,2,2,0
man,After 9:00 a.m.,"Rice, bread, noodles",6,4,1,1,0
man,No set getuptime,"Rice, bread, noodles",17,9,5,11,1
man,Other,"Rice, bread, noodles",2,2,2,2,90
woman,Before 6:00 a.m.,"Rice, bread, noodles",165,200,199,301,11
woman,6:00 a.m.06:29 a.m.,"Rice, bread, noodles",536,787,779,1153,42
woman,6:30 a.m.06:59 a.m.,"Rice, bread, noodles",682,1075,994,1321,45
woman,7:00 a.m.07:29 a.m.,"Rice, bread, noodles",426,600,491,638,28
woman,7:30 a.m.07:59 a.m.,"Rice, bread, noodles",48,57,44,42,5
woman,8:00 a.m.08:29 a.m.,"Rice, bread, noodles",4,8,3,5,1
woman,8:30 a.m.08:59 a.m.,"Rice, bread, noodles",5,3,1,3,0
woman,After 9:00 a.m.,"Rice, bread, noodles",3,5,1,5,0
woman,No set getuptime,"Rice, bread, noodles",13,13,13,12,1
woman,Other,"Rice, bread, noodles",4,4,4,3,77
